date,data_source,cpi,Alimentos y Bebidas No Alcohólicas,Bebidas Alcohólicas y Tabaco,"Muebles, Bienes y Servicios Domésticos",Bienes y Servicios Diversos,Prendas de Vestir y Calzado
2025-01-06,2025_01.csv,109.85323695452958,110.39053776687327,106.7582435255729,107.0550206672477,112.18136819564883,107.22422267668446
2025-01-07,2025_01.csv,110.08945677911429,110.49653357108845,106.77415406605179,107.29512997253568,113.38401624229338,107.22422267668446
2025-01-08,2025_01.csv,110.08945677911429,110.49653357108845,106.77415406605179,107.29512997253568,113.38401624229338,107.22422267668446
2025-01-09,2025_01.csv,110.15829500763091,110.54136330527385,106.80865384030854,107.29381440985723,113.71269000065428,107.22422267668446
2025-01-10,2025_01.csv,110.15533039867613,110.53594109783565,106.84883247004996,107.29381440985723,113.71269000065428,107.22422267668446
2025-01-11,2025_01.csv,110.15533039867613,110.53594109783565,106.84883247004996,107.29381440985723,113.71269000065428,107.22422267668446
2025-01-12,2025_01.csv,110.17063023405473,110.55526768543615,106.84883247004996,107.28451698467627,113.74302888850663,107.22422267668446
2025-01-13,2025_01.csv,110.11406109902329,110.46825522413936,106.84883247004996,107.28451698467627,113.74302888850663,107.22422267668446
2025-01-14,2025_01.csv,109.8164626966731,110.135901989441,106.62602163587427,107.08197817964101,113.25095053134352,107.22422267668446
2025-01-15,2025_01.csv,109.8355071022722,110.16501888567198,106.63424571628168,107.08197817964101,113.25095053134352,107.22422267668446
2025-01-16,2025_01.csv,109.8377709704901,110.17318615559776,106.63424571628168,107.06793437211024,113.23681164621979,107.22422267668446
2025-01-17,2025_01.csv,109.86261801308724,110.20984905794575,106.63424571628168,107.06793437211024,113.24526274843657,107.22422267668446
2025-01-18,2025_01.csv,109.89761322704972,110.2339599508668,107.42301203993138,107.15421661113143,113.24526274843657,107.22422267668446
2025-01-19,2025_01.csv,109.8992977269367,110.23345609227185,107.49097741153868,107.16525476357147,113.24526274843657,107.22422267668446
2025-01-20,2025_01.csv,109.90862013267125,110.24779545715201,107.49097741153868,107.16525476357147,113.24526274843657,107.22422267668446
2025-01-21,2025_01.csv,109.91538090910346,110.25819462265662,107.49097741153868,107.16525476357147,113.24526274843657,107.22422267668446
2025-01-22,2025_01.csv,109.97712438808642,110.34131921965277,107.49097741153868,107.23875650968822,113.25042146566084,107.22422267668446
2025-01-23,2025_01.csv,109.97712438808642,110.34131921965277,107.49097741153868,107.23875650968822,113.25042146566084,107.22422267668446
2025-01-24,2025_01.csv,109.97712438808642,110.34131921965277,107.49097741153868,107.23875650968822,113.25042146566084,107.22422267668446
2025-01-25,2025_01.csv,109.991841055026,110.36394883660564,107.49097741153868,107.23880367404868,113.25042146566084,107.22422267668446
2025-01-26,2025_01.csv,110.001845716443,110.37933762085787,107.49097741153868,107.23880367404868,113.25042146566084,107.22422267668446
2025-01-27,2025_01.csv,109.99250580706571,110.36497133254967,107.49097741153868,107.23880367404868,113.25042146566084,107.22422267668446
2025-01-28,2025_01.csv,109.9907535687231,110.36497133254967,107.49097741153868,107.22062420124382,113.25042146566084,107.22422267668446
2025-01-29,2025_01.csv,110.17027543069396,110.61568861575543,107.70367779088696,107.36127336818926,113.25042146566084,107.22422267668446
2025-01-30,2025_01.csv,110.19447274390087,110.65046024611848,107.79534174630774,107.36741087011012,113.24809056015809,107.22422267668446
2025-01-31,2025_01.csv,110.17636818545304,110.60458719996598,107.86115261781721,107.46819523630913,113.25716811809266,107.22422267668446
2025-02-01,2025_02.csv,110.34226865881136,110.82079460280241,107.888881777403,107.47570287126075,113.45959039467282,107.22422267668446
2025-02-02,2025_02.csv,110.74616476608658,111.32404962136506,108.12164400585627,107.69996086266865,113.89282996909235,107.22422267668446
2025-02-03,2025_02.csv,110.87608944420619,111.39668413882033,108.47199814877652,107.9202427138682,114.36558252987126,107.22422267668446
2025-02-04,2025_02.csv,110.87634190474988,111.39668413882033,108.47199814877652,107.92286199200908,114.36558252987126,107.22422267668446
2025-02-05,2025_02.csv,110.8845415730113,111.40929655223,108.47199814877652,107.92286199200908,114.36558252987126,107.22422267668446
2025-02-06,2025_02.csv,110.88770453689276,111.41388024233899,108.47199814877652,107.9229745537371,114.36702070933693,107.22422267668446
2025-02-07,2025_02.csv,110.89420466574207,111.41388024233899,108.47199814877652,107.95505104268241,114.3954979378173,107.22422267668446
2025-02-08,2025_02.csv,110.6873841700381,111.10742323424756,107.92832204971207,107.95505104268241,114.3954979378173,107.22422267668446
2025-02-09,2025_02.csv,110.71746168368372,111.14304395985262,107.92934340914387,107.9525356949877,114.4552168942925,107.22422267668446
2025-02-10,2025_02.csv,110.6800126048926,111.08544123149014,107.92934340914387,107.9525356949877,114.4552168942925,107.22422267668446
2025-02-11,2025_02.csv,110.66776977336929,111.06538051592838,107.92934340914387,107.9542401837468,114.46052137654975,107.22422267668446
2025-02-12,2025_02.csv,110.66776977336929,111.06538051592838,107.92934340914387,107.9542401837468,114.46052137654975,107.22422267668446
2025-02-13,2025_02.csv,110.70354152227104,111.10877547643025,107.92934340914387,108.03267021508574,114.46052137654975,107.22422267668446
2025-02-14,2025_02.csv,110.70623141675965,111.11291296836738,107.92934340914387,108.03267021508574,114.46052137654975,107.22422267668446
2025-02-15,2025_02.csv,110.3545289661301,110.77598983567464,107.37427778798335,107.68127452353615,113.69982874572328,107.22422267668446
2025-02-16,2025_02.csv,110.35982532821735,110.7843104870183,107.37427778798335,107.68010093946721,113.69982874572328,107.22422267668446
2025-02-17,2025_02.csv,110.3645300763458,110.78933237228087,107.37427778798335,107.68010093946721,113.71185894404428,107.22422267668446
2025-02-18,2025_02.csv,110.36450293066153,110.78929061783651,107.37427778798335,107.68010093946721,113.71185894404428,107.22422267668446
2025-02-19,2025_02.csv,110.38366780573324,110.81876928936838,107.37427778798335,107.68010093946721,113.71185894404428,107.22422267668446
2025-02-20,2025_02.csv,110.33001130941626,110.8002480485828,107.37427778798335,107.67691293541678,113.36673144226542,107.22422267668446
2025-02-21,2025_02.csv,110.34862090263677,110.82887260699171,107.37427778798335,107.67691293541678,113.36673144226542,107.22422267668446
2025-02-22,2025_02.csv,110.33273049516684,110.80443059520917,107.37427778798335,107.67691293541678,113.36673144226542,107.22422267668446
2025-02-23,2025_02.csv,110.42487613437066,110.94334362502943,107.36413562189225,107.67691293541678,113.38324120043863,107.22422267668446
2025-02-24,2025_02.csv,110.43519553423792,110.9705476908295,107.36413562189225,107.600483495477,113.38324120043863,107.22422267668446
2025-02-25,2025_02.csv,110.43238500763196,110.96622464722297,107.36413562189225,107.600483495477,113.38324120043863,107.22422267668446
2025-02-26,2025_02.csv,110.44799272975601,110.98446299423553,107.36413562189225,107.600483495477,113.41457636608078,107.22422267668446
2025-02-27,2025_02.csv,110.48608769327532,111.04553311213697,107.47170485562107,107.57168182410138,113.41179464421901,107.22422267668446
2025-02-28,2025_02.csv,110.47481606783238,111.02828477682912,107.46754587611396,107.57168182410138,113.41179464421901,107.22422267668446
2025-03-01,2025_03.csv,110.49885193624375,111.06156952995714,107.54494102147046,107.57168182410138,113.42279691252311,107.22422267668446
2025-03-02,2025_03.csv,110.54067760452739,111.12211517804975,107.54585654076051,107.57168182410138,113.44327114697037,107.22422267668446
2025-03-03,2025_03.csv,110.54090543511987,111.12211517804975,107.54585654076051,107.57289359854325,113.44419882447615,107.22422267668446
2025-03-04,2025_03.csv,110.54090543511987,111.12211517804975,107.54585654076051,107.57289359854325,113.44419882447615,107.22422267668446
2025-03-05,2025_03.csv,110.54090543511987,111.12211517804975,107.54585654076051,107.57289359854325,113.44419882447615,107.22422267668446
2025-03-06,2025_03.csv,110.5420131556292,111.12381903100582,107.54585654076051,107.57289359854325,113.44419882447615,107.22422267668446
2025-03-07,2025_03.csv,110.70490932532213,111.15675801548477,107.64439227571465,107.79465298701014,114.43620599031851,107.22422267668446
2025-03-08,2025_03.csv,110.7085726607606,111.15744007006887,107.64439227571465,107.79465298701014,114.46310826064486,107.22422267668446
2025-03-09,2025_03.csv,110.74098271105107,111.18038111280451,107.68753062361908,107.85932991957058,114.55217002403724,107.22422267668446
2025-03-10,2025_03.csv,110.68651093610691,111.20741721527986,107.68753062361908,107.73248247873393,114.05235576102993,107.22422267668446
2025-03-11,2025_03.csv,110.97337520822073,111.63300406054906,108.27994611918686,107.75234368339682,114.05235576102993,107.22422267668446
2025-03-12,2025_03.csv,110.98268718023309,111.64198044973811,108.28673709480734,107.75234368339682,114.0806076041225,107.22422267668446
2025-03-13,2025_03.csv,111.01755477716914,111.68462687745655,108.33836064221458,107.75234368339682,114.13426181501998,107.22422267668446
2025-03-14,2025_03.csv,111.04332940782004,111.72427242004271,108.33836064221458,107.75234368339682,114.13426181501998,107.22422267668446
2025-03-15,2025_03.csv,111.07982598493781,111.77729197737126,108.33836064221458,107.75463668549689,114.1493519588315,107.22422267668446
2025-03-16,2025_03.csv,111.03978634873567,111.87584352403114,108.61937286952997,106.69821772056511,114.09748935838061,107.22422267668446
2025-03-17,2025_03.csv,111.04321682838713,111.88112015549694,108.61937286952997,106.69821772056511,114.09748935838061,107.22422267668446
2025-03-18,2025_03.csv,111.04321682838713,111.88112015549694,108.61937286952997,106.69821772056511,114.09748935838061,107.22422267668446
2025-03-19,2025_03.csv,111.08257111528438,111.93910201684761,108.61937286952997,106.71419530648913,114.09848122077405,107.22422267668446
2025-03-20,2025_03.csv,111.14022989235087,112.02759279393246,108.62858751623925,106.71419530648913,114.09848122077405,107.22422267668446
2025-03-21,2025_03.csv,111.15589928680654,112.04078800200806,108.62858751623925,106.7778137382347,114.10649312197557,107.22422267668446
2025-03-22,2025_03.csv,111.14026488511178,112.01769925300982,108.62858751623925,106.78876178952139,114.09246496113953,107.22422267668446
2025-03-23,2025_03.csv,111.15351343829221,112.04136339628523,108.62858751623925,106.7665993255242,114.09246496113953,107.22422267668446
2025-03-24,2025_03.csv,111.15364244760103,112.04710744689119,108.62858751623925,106.79109983703766,114.04261215078834,107.22422267668446
2025-03-25,2025_03.csv,111.14273283307472,112.03032669867564,108.62858751623925,106.79109983703766,114.04261215078834,107.22422267668446
2025-03-26,2025_03.csv,111.17548738166141,112.07966196122364,108.67735775232453,106.79109983703766,114.04261215078834,107.22422267668446
2025-03-27,2025_03.csv,111.12522936659428,112.00130069758134,108.67735775232453,106.79109983703766,114.04834987681953,107.22422267668446
2025-03-28,2025_03.csv,111.30079716956224,112.27016671028046,108.73260983235676,106.79109983703766,114.04834987681953,107.22422267668446
2025-03-29,2025_03.csv,111.46064739584175,112.3444919446551,108.75025140535932,106.81972637507695,114.95506517171837,107.22422267668446
2025-03-30,2025_03.csv,111.54162361961383,112.3767510438283,108.77644139904251,107.08271601486393,115.24155660669891,107.22422267668446
2025-03-31,2025_03.csv,111.83150412037753,112.81365693537963,109.19479523501468,107.08271601486393,115.24155660669891,107.22422267668446
2025-04-01,2025_04.csv,111.83150412037753,112.81365693537963,109.19479523501468,107.08271601486393,115.24155660669891,107.22422267668446
2025-04-02,2025_04.csv,112.70542337989355,113.41444222312356,110.42850794279006,108.75657226802916,117.78803462495102,107.22422267668446
2025-04-03,2025_04.csv,112.83997500501069,113.40719023540385,110.5079299748415,108.76997894514184,118.93154674994774,107.22422267668446
2025-04-04,2025_04.csv,112.9707917013683,113.45526019346072,110.5079299748415,109.40934806703211,119.24852740759457,107.22422267668446
2025-04-05,2025_04.csv,113.02921147366492,113.53717299463571,110.63848521924905,109.43811491089868,119.25330677640189,107.22422267668446
2025-04-06,2025_04.csv,112.97625225059957,113.57277752166952,110.64695343211483,109.22420557907698,118.78871171223447,107.22422267668446
